50 D loss: 0.840157, acc.: 48.44%, G loss: 0.074677, time: 0:00:18.861181
100 D loss: 0.509287, acc.: 73.44%, G loss: 0.054623, time: 0:00:27.129412
150 D loss: 0.829434, acc.: 56.25%, G loss: 0.036176, time: 0:00:35.414635
200 D loss: 0.810616, acc.: 51.56%, G loss: 0.032972, time: 0:00:43.673720
250 D loss: 0.723244, acc.: 59.38%, G loss: 0.044478, time: 0:00:51.934480
300 D loss: 0.759078, acc.: 59.38%, G loss: 0.037854, time: 0:01:00.198028
350 D loss: 0.727558, acc.: 62.50%, G loss: 0.037134, time: 0:01:08.487958
400 D loss: 0.619613, acc.: 67.19%, G loss: 0.043750, time: 0:01:16.769756
450 D loss: 0.710740, acc.: 59.38%, G loss: 0.043011, time: 0:01:25.032634
500 D loss: 0.567373, acc.: 67.19%, G loss: 0.040162, time: 0:01:33.302835
550 D loss: 0.718902, acc.: 56.25%, G loss: 0.037170, time: 0:01:41.557655
600 D loss: 0.636727, acc.: 60.94%, G loss: 0.034919, time: 0:01:49.763946
650 D loss: 0.653021, acc.: 59.38%, G loss: 0.035645, time: 0:01:57.973099
700 D loss: 0.780107, acc.: 59.38%, G loss: 0.033513, time: 0:02:06.199457
750 D loss: 0.629028, acc.: 62.50%, G loss: 0.048636, time: 0:02:14.430934
800 D loss: 0.562372, acc.: 78.12%, G loss: 0.045473, time: 0:02:22.649984
850 D loss: 0.741859, acc.: 56.25%, G loss: 0.054698, time: 0:02:30.866717
900 D loss: 0.450253, acc.: 78.12%, G loss: 0.045445, time: 0:02:39.096688
950 D loss: 0.520836, acc.: 73.44%, G loss: 0.039282, time: 0:02:47.316784
1000 D loss: 0.529356, acc.: 71.88%, G loss: 0.038982, time: 0:02:55.554211
1050 D loss: 0.676312, acc.: 59.38%, G loss: 0.033036, time: 0:03:03.761728
1100 D loss: 0.476664, acc.: 79.69%, G loss: 0.034540, time: 0:03:11.967573
1150 D loss: 0.590903, acc.: 73.44%, G loss: 0.039066, time: 0:03:20.189621
1200 D loss: 0.470856, acc.: 82.81%, G loss: 0.046040, time: 0:03:28.394018
1250 D loss: 0.673017, acc.: 59.38%, G loss: 0.043875, time: 0:03:36.623891
1300 D loss: 0.592754, acc.: 65.62%, G loss: 0.034948, time: 0:03:44.848045
1350 D loss: 0.456066, acc.: 84.38%, G loss: 0.053856, time: 0:03:53.089266
1400 D loss: 0.620794, acc.: 71.88%, G loss: 0.044681, time: 0:04:01.292739
1450 D loss: 0.499733, acc.: 76.56%, G loss: 0.040304, time: 0:04:09.497569
1500 D loss: 0.547947, acc.: 68.75%, G loss: 0.044473, time: 0:04:17.697027
1550 D loss: 0.519959, acc.: 76.56%, G loss: 0.053118, time: 0:04:25.886224
1600 D loss: 0.556284, acc.: 71.88%, G loss: 0.048201, time: 0:04:34.085467
1650 D loss: 0.520236, acc.: 78.12%, G loss: 0.055110, time: 0:04:42.316303
1700 D loss: 0.511513, acc.: 73.44%, G loss: 0.038290, time: 0:04:50.560718
1750 D loss: 0.549458, acc.: 68.75%, G loss: 0.050273, time: 0:04:58.770071
1800 D loss: 0.434550, acc.: 82.81%, G loss: 0.043598, time: 0:05:06.983491
1850 D loss: 0.438164, acc.: 81.25%, G loss: 0.046987, time: 0:05:15.212946
1900 D loss: 0.432559, acc.: 78.12%, G loss: 0.052499, time: 0:05:23.534963
1950 D loss: 0.410927, acc.: 84.38%, G loss: 0.041391, time: 0:05:31.802841
2000 D loss: 0.329670, acc.: 85.94%, G loss: 0.062723, time: 0:05:40.051912
2050 D loss: 0.353181, acc.: 82.81%, G loss: 0.054718, time: 0:05:48.247018
2100 D loss: 0.360370, acc.: 84.38%, G loss: 0.055211, time: 0:05:56.470851
2150 D loss: 0.427331, acc.: 78.12%, G loss: 0.055346, time: 0:06:04.673027
2200 D loss: 0.423684, acc.: 82.81%, G loss: 0.055977, time: 0:06:12.900813
2250 D loss: 0.341511, acc.: 90.62%, G loss: 0.063414, time: 0:06:21.090794
2300 D loss: 0.311640, acc.: 90.62%, G loss: 0.061909, time: 0:06:29.293274
2350 D loss: 0.322781, acc.: 87.50%, G loss: 0.056281, time: 0:06:37.483906
2400 D loss: 0.343137, acc.: 87.50%, G loss: 0.061779, time: 0:06:45.709036
2450 D loss: 0.429171, acc.: 79.69%, G loss: 0.059156, time: 0:06:53.900220
2500 D loss: 0.318811, acc.: 85.94%, G loss: 0.056805, time: 0:07:02.109938
2550 D loss: 0.319127, acc.: 85.94%, G loss: 0.046002, time: 0:07:11.578415
2600 D loss: 0.436936, acc.: 81.25%, G loss: 0.061956, time: 0:07:19.805178
2650 D loss: 0.382074, acc.: 87.50%, G loss: 0.068676, time: 0:07:28.046557
2700 D loss: 0.323022, acc.: 87.50%, G loss: 0.059855, time: 0:07:36.291523
2750 D loss: 0.247368, acc.: 96.88%, G loss: 0.075366, time: 0:07:44.546026
2800 D loss: 0.335546, acc.: 89.06%, G loss: 0.061069, time: 0:07:52.782028
2850 D loss: 0.506002, acc.: 76.56%, G loss: 0.069264, time: 0:08:01.042853
2900 D loss: 0.409547, acc.: 82.81%, G loss: 0.064005, time: 0:08:09.347577
2950 D loss: 0.290345, acc.: 92.19%, G loss: 0.084684, time: 0:08:17.611657
3000 D loss: 0.356575, acc.: 85.94%, G loss: 0.065895, time: 0:08:25.888735
3050 D loss: 0.232620, acc.: 95.31%, G loss: 0.071250, time: 0:08:34.146401
3100 D loss: 0.253746, acc.: 92.19%, G loss: 0.072691, time: 0:08:42.423377
3150 D loss: 0.345281, acc.: 84.38%, G loss: 0.077606, time: 0:08:50.695081
3200 D loss: 0.288892, acc.: 87.50%, G loss: 0.090311, time: 0:08:59.015223
3250 D loss: 0.344489, acc.: 85.94%, G loss: 0.061659, time: 0:09:07.273851
3300 D loss: 0.345037, acc.: 81.25%, G loss: 0.073482, time: 0:09:15.520791
3350 D loss: 0.383387, acc.: 87.50%, G loss: 0.085938, time: 0:09:23.776816
3400 D loss: 0.340496, acc.: 84.38%, G loss: 0.060324, time: 0:09:32.018454
3450 D loss: 0.323386, acc.: 89.06%, G loss: 0.062963, time: 0:09:40.273667
3500 D loss: 0.279514, acc.: 89.06%, G loss: 0.077385, time: 0:09:48.502626
3550 D loss: 0.298168, acc.: 89.06%, G loss: 0.068036, time: 0:09:56.722990
3600 D loss: 0.283191, acc.: 92.19%, G loss: 0.075482, time: 0:10:04.935115
3650 D loss: 0.313394, acc.: 87.50%, G loss: 0.082628, time: 0:10:13.161354
3700 D loss: 0.234285, acc.: 89.06%, G loss: 0.087654, time: 0:10:21.378846
3750 D loss: 0.268897, acc.: 87.50%, G loss: 0.071481, time: 0:10:29.612590
