50 D_loss: 0.211342 , acc.: 93.75% , G_loss: 0.038982 , time: 0:00:16.133775
100 D_loss: 0.255172 , acc.: 92.19% , G_loss: 0.026608 , time: 0:00:24.577847
150 D_loss: 0.425542 , acc.: 79.69% , G_loss: 0.039410 , time: 0:00:33.025777
200 D_loss: 0.530785 , acc.: 73.44% , G_loss: 0.041875 , time: 0:00:41.484841
250 D_loss: 0.642253 , acc.: 73.44% , G_loss: 0.045683 , time: 0:00:49.916058
300 D_loss: 0.516497 , acc.: 67.19% , G_loss: 0.060209 , time: 0:00:58.356575
350 D_loss: 0.547500 , acc.: 71.88% , G_loss: 0.054345 , time: 0:01:06.783541
400 D_loss: 0.534730 , acc.: 76.56% , G_loss: 0.051860 , time: 0:01:15.224867
450 D_loss: 0.218525 , acc.: 96.88% , G_loss: 0.062099 , time: 0:01:23.644388
500 D_loss: 0.409767 , acc.: 82.81% , G_loss: 0.052421 , time: 0:01:32.076832
550 D_loss: 0.370028 , acc.: 87.50% , G_loss: 0.042651 , time: 0:01:40.483595
600 D_loss: 0.373192 , acc.: 81.25% , G_loss: 0.046487 , time: 0:01:48.899856
650 D_loss: 0.319772 , acc.: 89.06% , G_loss: 0.048737 , time: 0:01:57.330876
700 D_loss: 0.494892 , acc.: 67.19% , G_loss: 0.046247 , time: 0:02:05.779348
750 D_loss: 0.490331 , acc.: 76.56% , G_loss: 0.045819 , time: 0:02:14.200224
800 D_loss: 0.463100 , acc.: 78.12% , G_loss: 0.058868 , time: 0:02:22.573676
850 D_loss: 0.417119 , acc.: 82.81% , G_loss: 0.066779 , time: 0:02:30.948008
900 D_loss: 0.457446 , acc.: 75.00% , G_loss: 0.058946 , time: 0:02:39.352492
950 D_loss: 0.460789 , acc.: 78.12% , G_loss: 0.053056 , time: 0:02:47.778792
1000 D_loss: 0.278351 , acc.: 92.19% , G_loss: 0.053037 , time: 0:02:56.174744
1050 D_loss: 0.556102 , acc.: 75.00% , G_loss: 0.053020 , time: 0:03:04.575994
1100 D_loss: 0.289039 , acc.: 89.06% , G_loss: 0.063493 , time: 0:03:12.984166
1150 D_loss: 0.266242 , acc.: 92.19% , G_loss: 0.063268 , time: 0:03:21.387646
1200 D_loss: 0.492022 , acc.: 70.31% , G_loss: 0.052137 , time: 0:03:29.763483
1250 D_loss: 0.359031 , acc.: 85.94% , G_loss: 0.049052 , time: 0:03:38.159083
1300 D_loss: 0.332672 , acc.: 85.94% , G_loss: 0.066107 , time: 0:03:46.553022
1350 D_loss: 0.451768 , acc.: 76.56% , G_loss: 0.065240 , time: 0:03:54.940946
